username,repo_name,repo_url,stars
arendst,Tasmota,https://github.com/arendst/Tasmota,21000
MarlinFirmware,Marlin,https://github.com/MarlinFirmware/Marlin,15000
tinygo-org,tinygo,https://github.com/tinygo-org/tinygo,14000
arduino,Arduino,https://github.com/arduino/Arduino,13000
rwaldron,johnny-five,https://github.com/rwaldron/johnny-five,13000
SpacehuhnTech,esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,12000
espressif,arduino-esp32,https://github.com/espressif/arduino-esp32,12000
gurugio,lowlevelprogramming-university,https://github.com/gurugio/lowlevelprogramming-university,9000
hybridgroup,gobot,https://github.com/hybridgroup/gobot,8000
platformio,platformio-core,https://github.com/platformio/platformio-core,7000
bblanchon,ArduinoJson,https://github.com/bblanchon/ArduinoJson,6000
tzapu,WiFiManager,https://github.com/tzapu/WiFiManager,6000
olikraus,u8g2,https://github.com/olikraus/u8g2,4000
ClemensElflein,OpenMower,https://github.com/ClemensElflein/OpenMower,4000
Arduino-IRremote,Arduino-IRremote,https://github.com/Arduino-IRremote/Arduino-IRremote,4000
arduino,arduino-cli,https://github.com/arduino/arduino-cli,4000
justcallmekoko,ESP32Marauder,https://github.com/justcallmekoko/ESP32Marauder,4000
hybridgroup,cylon,https://github.com/hybridgroup/cylon,4000
Serial-Studio,Serial-Studio,https://github.com/Serial-Studio/Serial-Studio,3000
blynkkk,blynk-library,https://github.com/blynkkk/blynk-library,3000
